日志将保存到: ../maps_100samples/Town03/carla_script_20250305_223800_Town03.log
将运行 200 次 get_random_location_from_navigation(), 每一次新的位置上方显示鸟瞰图并标注位置 (带坐标文本):
Iteration 1:  X=34.65, Y=-12.64, Z=0.16
Iteration 2:  X=10.50, Y=82.87, Z=0.16
Iteration 3:  X=10.64, Y=80.35, Z=0.16
Iteration 4:  X=42.45, Y=-13.31, Z=0.16
Iteration 5:  X=-161.14, Y=4.72, Z=0.16
Iteration 6:  X=-120.39, Y=144.60, Z=0.15
Iteration 7:  X=57.95, Y=121.04, Z=0.15
Iteration 8:  X=29.40, Y=56.09, Z=0.21
Iteration 9:  X=-26.72, Y=-214.73, Z=0.16
Iteration 10:  X=-122.11, Y=18.31, Z=0.21
Iteration 11:  X=-55.73, Y=-5.98, Z=0.16
Iteration 12:  X=-161.39, Y=-8.05, Z=0.16
Iteration 13:  X=-11.31, Y=-84.33, Z=0.16
Iteration 14:  X=-209.27, Y=-8.11, Z=0.15
Iteration 15:  X=159.69, Y=-89.84, Z=8.16
Iteration 16:  X=25.39, Y=-212.64, Z=0.16
Iteration 17:  X=-81.77, Y=-201.89, Z=0.16
Iteration 18:  X=-108.86, Y=19.56, Z=0.17
Iteration 19:  X=-94.03, Y=-125.15, Z=0.10
Iteration 20:  X=-12.36, Y=-28.23, Z=0.16
Iteration 21:  X=17.57, Y=64.24, Z=0.21
Iteration 22:  X=14.37, Y=-107.67, Z=0.16
Iteration 23:  X=-196.07, Y=-7.87, Z=0.15
Iteration 24:  X=61.93, Y=142.30, Z=0.16
Iteration 25:  X=216.47, Y=-10.33, Z=0.16
Iteration 26:  X=-209.25, Y=3.48, Z=0.16
Iteration 27:  X=-90.35, Y=-189.31, Z=0.16
Iteration 28:  X=129.10, Y=70.73, Z=0.15
Iteration 29:  X=50.06, Y=62.78, Z=0.21
Iteration 30:  X=-68.27, Y=61.48, Z=0.58
Iteration 31:  X=75.30, Y=80.15, Z=0.15
Iteration 32:  X=161.36, Y=-138.81, Z=8.19
Iteration 33:  X=202.38, Y=50.84, Z=0.15
Iteration 34:  X=11.10, Y=30.30, Z=0.16
Iteration 35:  X=10.73, Y=90.90, Z=0.16
Iteration 36:  X=74.36, Y=187.88, Z=0.91
Iteration 37:  X=42.45, Y=187.14, Z=0.26
Iteration 38:  X=-94.29, Y=154.86, Z=0.16
Iteration 39:  X=59.72, Y=-126.75, Z=7.06
Iteration 40:  X=159.54, Y=-58.90, Z=7.03
Iteration 41:  X=97.30, Y=141.15, Z=0.32
Iteration 42:  X=-54.30, Y=-190.01, Z=0.16
Iteration 43:  X=90.96, Y=121.24, Z=0.31
Iteration 44:  X=94.09, Y=186.67, Z=1.34
Iteration 45:  X=-158.49, Y=-7.55, Z=0.16
Iteration 46:  X=-108.21, Y=125.84, Z=0.17
Iteration 47:  X=16.93, Y=-173.42, Z=0.17
Iteration 48:  X=-149.58, Y=-117.54, Z=0.98
Iteration 49:  X=-136.85, Y=115.06, Z=0.17
Iteration 50:  X=197.11, Y=14.48, Z=0.16
Iteration 51:  X=32.28, Y=-12.60, Z=0.16
Iteration 52:  X=11.36, Y=62.03, Z=0.17
Iteration 53:  X=-15.17, Y=100.46, Z=0.16
Iteration 54:  X=43.73, Y=-12.92, Z=0.16
Iteration 55:  X=-137.22, Y=-82.80, Z=0.61
Iteration 56:  X=-40.81, Y=-145.87, Z=0.16
Iteration 57:  X=155.81, Y=133.72, Z=0.60
Iteration 58:  X=-175.47, Y=97.73, Z=0.16
Iteration 59:  X=209.23, Y=14.47, Z=0.16
Iteration 60:  X=24.05, Y=187.09, Z=0.17
Iteration 61:  X=25.70, Y=187.89, Z=0.17
Iteration 62:  X=-105.26, Y=-6.49, Z=0.16
Iteration 63:  X=130.28, Y=50.77, Z=0.15
Iteration 64:  X=-155.62, Y=-101.24, Z=0.81
Iteration 65:  X=113.10, Y=-125.62, Z=8.16
Iteration 66:  X=-138.28, Y=-79.81, Z=0.58
Iteration 67:  X=-68.85, Y=33.89, Z=0.32
Iteration 68:  X=-64.50, Y=4.21, Z=0.17
Iteration 69:  X=149.37, Y=49.45, Z=0.15
Iteration 70:  X=-156.95, Y=-17.43, Z=0.15
Iteration 71:  X=-119.43, Y=143.46, Z=0.17
Iteration 72:  X=47.14, Y=55.97, Z=0.21
Iteration 73:  X=94.61, Y=46.56, Z=0.15
Iteration 74:  X=-93.83, Y=170.54, Z=0.16
Iteration 75:  X=-122.26, Y=-122.55, Z=0.97
Iteration 76:  X=107.04, Y=141.06, Z=0.38
Iteration 77:  X=-119.76, Y=-144.48, Z=0.74
Iteration 78:  X=160.99, Y=-96.66, Z=8.16
Iteration 79:  X=107.14, Y=49.79, Z=0.15
Iteration 80:  X=3.29, Y=-214.21, Z=0.16
Iteration 81:  X=98.39, Y=47.78, Z=0.15
Iteration 82:  X=-15.50, Y=47.76, Z=0.16
Iteration 83:  X=-15.68, Y=68.29, Z=0.16
Iteration 84:  X=34.60, Y=-187.68, Z=0.16
Iteration 85:  X=13.34, Y=-27.68, Z=0.16
Iteration 86:  X=133.84, Y=-79.19, Z=8.17
Iteration 87:  X=-93.93, Y=26.69, Z=0.22
Iteration 88:  X=-16.37, Y=109.87, Z=0.16
Iteration 89:  X=-138.55, Y=-37.74, Z=0.19
Iteration 90:  X=-24.24, Y=12.99, Z=0.16
Iteration 91:  X=210.84, Y=167.53, Z=2.14
Iteration 92:  X=11.51, Y=94.70, Z=0.16
Iteration 93:  X=-124.07, Y=145.09, Z=0.15
Iteration 94:  X=-95.06, Y=-77.48, Z=-0.70
Iteration 95:  X=224.48, Y=25.11, Z=0.16
Iteration 96:  X=-94.71, Y=120.51, Z=0.23
Iteration 97:  X=-25.65, Y=10.84, Z=0.16
Iteration 98:  X=-16.77, Y=-189.33, Z=0.16
Iteration 99:  X=-89.62, Y=181.62, Z=0.16
Iteration 100:  X=-9.38, Y=-122.50, Z=0.16
Iteration 101:  X=-15.19, Y=113.14, Z=0.16
Iteration 102:  X=167.13, Y=125.11, Z=0.57
Iteration 103:  X=-111.23, Y=124.64, Z=0.15
Iteration 104:  X=-122.84, Y=-142.61, Z=0.82
Iteration 105:  X=-135.59, Y=4.48, Z=0.15
Iteration 106:  X=70.22, Y=-125.16, Z=8.17
Iteration 107:  X=160.70, Y=-70.21, Z=8.16
Iteration 108:  X=-30.73, Y=5.94, Z=0.16
Iteration 109:  X=13.32, Y=163.32, Z=0.16
Iteration 110:  X=-196.21, Y=109.16, Z=0.16
Iteration 111:  X=-55.40, Y=124.65, Z=0.16
Iteration 112:  X=134.66, Y=14.34, Z=0.16
Iteration 113:  X=-14.50, Y=148.61, Z=0.16
Iteration 114:  X=-156.42, Y=-38.93, Z=0.19
Iteration 115:  X=-67.98, Y=-107.24, Z=-0.18
Iteration 116:  X=-188.58, Y=110.17, Z=0.16
Iteration 117:  X=-63.40, Y=-212.81, Z=0.16
Iteration 118:  X=162.79, Y=50.21, Z=0.15
Iteration 119:  X=-209.14, Y=2.90, Z=0.16
Iteration 120:  X=209.44, Y=-10.75, Z=0.16
Iteration 121:  X=-93.62, Y=-33.25, Z=-0.16
Iteration 122:  X=-66.10, Y=-6.73, Z=0.16
Iteration 123:  X=-59.56, Y=179.20, Z=0.16
Iteration 124:  X=-172.51, Y=109.13, Z=0.17
Iteration 125:  X=128.16, Y=71.18, Z=0.15
Iteration 126:  X=222.81, Y=109.51, Z=0.67
Iteration 127:  X=-18.50, Y=-128.52, Z=0.16
Iteration 128:  X=-125.60, Y=36.46, Z=0.17
Iteration 129:  X=-156.94, Y=-38.85, Z=0.18
Iteration 130:  X=-133.57, Y=22.61, Z=0.22
Iteration 131:  X=203.11, Y=50.54, Z=0.15
Iteration 132:  X=44.42, Y=12.60, Z=0.16
Iteration 133:  X=-68.71, Y=82.85, Z=0.33
Iteration 134:  X=-161.50, Y=-7.56, Z=0.16
Iteration 135:  X=-44.37, Y=124.14, Z=0.15
Iteration 136:  X=-67.88, Y=-22.25, Z=-0.01
Iteration 137:  X=152.21, Y=13.72, Z=0.16
Iteration 138:  X=-138.08, Y=111.14, Z=0.16
Iteration 139:  X=35.46, Y=148.86, Z=0.17
Iteration 140:  X=-110.95, Y=-147.62, Z=0.56
Iteration 141:  X=-155.51, Y=-18.48, Z=0.16
Iteration 142:  X=131.95, Y=72.14, Z=0.15
Iteration 143:  X=-206.11, Y=-7.81, Z=0.15
Iteration 144:  X=55.77, Y=141.80, Z=0.16
Iteration 145:  X=161.96, Y=-114.16, Z=8.15
Iteration 146:  X=-93.53, Y=-29.02, Z=-0.10
Iteration 147:  X=30.91, Y=142.49, Z=0.15
Iteration 148:  X=138.23, Y=50.93, Z=0.15
Iteration 149:  X=92.44, Y=-161.20, Z=5.72
Iteration 150:  X=11.07, Y=94.19, Z=0.16
Iteration 151:  X=125.30, Y=-185.08, Z=0.17
Iteration 152:  X=156.28, Y=133.41, Z=0.60
Iteration 153:  X=39.56, Y=55.81, Z=0.21
Iteration 154:  X=-94.47, Y=-92.18, Z=-0.52
Iteration 155:  X=-93.89, Y=109.49, Z=0.37
Iteration 156:  X=-70.48, Y=-210.88, Z=0.16
Iteration 157:  X=13.68, Y=174.39, Z=0.16
Iteration 158:  X=-101.48, Y=13.14, Z=0.16
Iteration 159:  X=-68.33, Y=-169.74, Z=0.16
Iteration 160:  X=-54.15, Y=5.10, Z=0.15
Iteration 161:  X=29.23, Y=187.92, Z=0.17
Iteration 162:  X=-138.16, Y=91.89, Z=0.16
Iteration 163:  X=94.46, Y=121.34, Z=0.30
Iteration 164:  X=-84.24, Y=191.17, Z=0.16
Iteration 165:  X=225.74, Y=17.44, Z=0.16
Iteration 166:  X=76.37, Y=188.25, Z=0.95
Iteration 167:  X=-68.40, Y=-165.09, Z=0.16
Iteration 168:  X=-44.92, Y=-127.58, Z=0.15
Iteration 169:  X=97.77, Y=187.37, Z=1.42
Iteration 170:  X=205.18, Y=172.37, Z=2.34
Iteration 171:  X=-13.65, Y=-24.16, Z=0.17
Iteration 172:  X=-94.78, Y=-165.95, Z=0.18
Iteration 173:  X=-92.43, Y=172.14, Z=0.16
Iteration 174:  X=107.04, Y=119.90, Z=0.38
Iteration 175:  X=-68.06, Y=119.59, Z=0.24
Iteration 176:  X=-19.38, Y=19.50, Z=0.17
Iteration 177:  X=-55.08, Y=-189.33, Z=0.16
Iteration 178:  X=-58.23, Y=141.93, Z=0.16
Iteration 179:  X=-65.08, Y=-7.53, Z=0.15
Iteration 180:  X=13.73, Y=-79.67, Z=0.16
Iteration 181:  X=88.72, Y=-53.63, Z=6.00
Iteration 182:  X=-91.83, Y=171.75, Z=0.16
Iteration 183:  X=-51.69, Y=5.28, Z=0.15
Iteration 184:  X=224.25, Y=99.81, Z=0.50
Iteration 185:  X=-128.47, Y=-141.92, Z=0.91
Iteration 186:  X=73.21, Y=-101.44, Z=8.17
Iteration 187:  X=206.06, Y=49.60, Z=0.15
Iteration 188:  X=-153.73, Y=-108.58, Z=0.88
Iteration 189:  X=90.31, Y=-87.07, Z=8.16
