日志将保存到: ../maps_100samples/Town05/carla_script_20250305_235814_Town05.log
将运行 200 次 get_random_location_from_navigation(), 每一次新的位置上方显示鸟瞰图并标注位置 (带坐标文本):
Iteration 1:  X=-144.55, Y=101.72, Z=0.16
Iteration 2:  X=-69.04, Y=134.59, Z=0.23
Iteration 3:  X=-171.68, Y=136.63, Z=0.22
Iteration 4:  X=218.85, Y=108.85, Z=0.16
Iteration 5:  X=84.63, Y=133.94, Z=0.19
Iteration 6:  X=-98.72, Y=100.95, Z=0.16
Iteration 7:  X=-92.69, Y=-178.94, Z=10.11
Iteration 8:  X=40.03, Y=49.14, Z=0.16
Iteration 9:  X=23.83, Y=-120.03, Z=0.16
Iteration 10:  X=-138.53, Y=124.57, Z=0.16
Iteration 11:  X=21.33, Y=-39.34, Z=0.16
Iteration 12:  X=-261.81, Y=53.61, Z=0.16
Iteration 13:  X=151.93, Y=121.92, Z=0.19
Iteration 14:  X=-27.66, Y=98.64, Z=0.16
Iteration 15:  X=17.22, Y=-7.54, Z=0.16
Iteration 16:  X=-69.96, Y=134.39, Z=0.22
Iteration 17:  X=-41.36, Y=-53.03, Z=0.22
Iteration 18:  X=144.59, Y=15.59, Z=0.19
Iteration 19:  X=42.32, Y=-106.51, Z=0.16
Iteration 20:  X=-107.61, Y=98.79, Z=0.16
Iteration 21:  X=-58.42, Y=-43.48, Z=0.22
Iteration 22:  X=-254.82, Y=20.89, Z=10.16
Iteration 23:  X=160.00, Y=-106.61, Z=0.20
Iteration 24:  X=58.52, Y=79.70, Z=0.16
Iteration 25:  X=-198.90, Y=-115.93, Z=0.22
Iteration 26:  X=-53.28, Y=179.87, Z=4.08
Iteration 27:  X=-137.69, Y=216.16, Z=8.68
Iteration 28:  X=111.32, Y=126.74, Z=0.19
Iteration 29:  X=-88.40, Y=-81.76, Z=0.16
Iteration 30:  X=218.11, Y=-16.30, Z=0.16
Iteration 31:  X=36.02, Y=216.03, Z=0.16
Iteration 32:  X=-144.62, Y=-99.68, Z=0.16
Iteration 33:  X=-113.50, Y=-115.28, Z=0.16
Iteration 34:  X=-95.55, Y=9.46, Z=0.16
Iteration 35:  X=-60.04, Y=77.51, Z=0.22
Iteration 36:  X=-22.49, Y=-8.68, Z=0.16
Iteration 37:  X=91.94, Y=-55.03, Z=0.16
Iteration 38:  X=-198.14, Y=37.02, Z=0.22
Iteration 39:  X=-127.15, Y=-215.60, Z=10.18
Iteration 40:  X=60.00, Y=-79.88, Z=0.16
Iteration 41:  X=-218.44, Y=-16.77, Z=10.16
Iteration 42:  X=-178.69, Y=-115.50, Z=0.22
Iteration 43:  X=216.55, Y=124.84, Z=0.16
Iteration 44:  X=-103.40, Y=-215.28, Z=10.19
Iteration 45:  X=-218.63, Y=-95.17, Z=10.16
Iteration 46:  X=-41.25, Y=-28.06, Z=0.22
Iteration 47:  X=-180.06, Y=-23.67, Z=0.22
Iteration 48:  X=39.57, Y=-71.68, Z=0.16
Iteration 49:  X=-123.52, Y=179.24, Z=8.53
Iteration 50:  X=82.24, Y=-93.69, Z=0.16
Iteration 51:  X=-41.27, Y=-70.43, Z=0.22
Iteration 52:  X=44.60, Y=-216.05, Z=0.16
Iteration 53:  X=218.43, Y=107.40, Z=0.16
Iteration 54:  X=219.95, Y=-25.62, Z=0.16
Iteration 55:  X=-140.11, Y=-114.84, Z=0.18
Iteration 56:  X=-255.38, Y=76.96, Z=0.16
Iteration 57:  X=-55.47, Y=-215.61, Z=6.60
Iteration 58:  X=21.33, Y=-28.42, Z=0.16
Iteration 59:  X=160.96, Y=101.73, Z=0.20
Iteration 60:  X=-213.11, Y=190.48, Z=9.43
Iteration 61:  X=-186.87, Y=-139.33, Z=0.22
Iteration 62:  X=21.15, Y=127.12, Z=0.16
Iteration 63:  X=51.98, Y=9.52, Z=0.16
Iteration 64:  X=-252.78, Y=96.58, Z=0.16
Iteration 65:  X=183.75, Y=-181.27, Z=0.16
Iteration 66:  X=-269.40, Y=-82.58, Z=0.16
Iteration 67:  X=132.37, Y=-211.63, Z=0.16
Iteration 68:  X=-67.99, Y=-119.73, Z=0.22
Iteration 69:  X=-104.72, Y=139.09, Z=0.22
Iteration 70:  X=64.94, Y=80.50, Z=0.16
Iteration 71:  X=-113.21, Y=109.51, Z=0.16
Iteration 72:  X=112.61, Y=-35.63, Z=0.16
Iteration 73:  X=-18.83, Y=179.06, Z=0.56
Iteration 74:  X=65.57, Y=9.38, Z=0.16
Iteration 75:  X=-279.14, Y=67.65, Z=0.16
Iteration 76:  X=78.31, Y=-155.53, Z=0.19
Iteration 77:  X=-60.83, Y=114.85, Z=0.22
Iteration 78:  X=11.36, Y=81.20, Z=0.16
Iteration 79:  X=79.73, Y=-71.77, Z=0.16
Iteration 80:  X=-94.79, Y=10.70, Z=0.16
Iteration 81:  X=50.14, Y=-216.78, Z=0.16
Iteration 82:  X=148.08, Y=124.37, Z=0.20
Iteration 83:  X=158.59, Y=-110.19, Z=0.20
Iteration 84:  X=40.73, Y=-45.73, Z=0.16
Iteration 85:  X=-145.02, Y=140.16, Z=0.22
Iteration 86:  X=-155.02, Y=-214.58, Z=10.18
Iteration 87:  X=-114.53, Y=-25.54, Z=0.16
Iteration 88:  X=207.57, Y=-148.78, Z=0.16
Iteration 89:  X=57.45, Y=153.70, Z=0.20
Iteration 90:  X=-156.31, Y=-177.00, Z=10.18
Iteration 91:  X=61.54, Y=-217.67, Z=0.16
Iteration 92:  X=96.14, Y=132.52, Z=0.19
Iteration 93:  X=219.99, Y=-15.73, Z=0.16
Iteration 94:  X=92.27, Y=14.79, Z=0.16
Iteration 95:  X=207.00, Y=147.38, Z=0.16
Iteration 96:  X=-88.90, Y=179.17, Z=7.82
Iteration 97:  X=43.43, Y=-165.15, Z=0.16
Iteration 98:  X=105.59, Y=-215.02, Z=0.16
Iteration 99:  X=-254.28, Y=117.79, Z=10.00
Iteration 100:  X=219.02, Y=26.20, Z=0.16
Iteration 101:  X=-259.21, Y=-67.16, Z=0.16
Iteration 102:  X=-60.97, Y=104.39, Z=0.22
Iteration 103:  X=-191.34, Y=140.67, Z=0.22
Iteration 104:  X=-251.81, Y=96.99, Z=0.16
Iteration 105:  X=-19.67, Y=-8.81, Z=0.16
Iteration 106:  X=219.13, Y=76.35, Z=0.16
Iteration 107:  X=-105.54, Y=-8.16, Z=0.16
Iteration 108:  X=93.06, Y=-14.13, Z=0.16
Iteration 109:  X=-179.25, Y=56.69, Z=0.22
Iteration 110:  X=-198.20, Y=-108.74, Z=0.22
Iteration 111:  X=-180.74, Y=-24.29, Z=0.22
Iteration 112:  X=-113.55, Y=50.58, Z=0.16
Iteration 113:  X=-137.25, Y=60.45, Z=0.16
Iteration 114:  X=93.18, Y=131.75, Z=0.19
Iteration 115:  X=-44.89, Y=-178.89, Z=5.26
Iteration 116:  X=29.13, Y=-215.31, Z=0.16
Iteration 117:  X=-160.28, Y=-132.78, Z=0.22
Iteration 118:  X=-254.22, Y=-7.51, Z=0.16
Iteration 119:  X=-60.63, Y=37.09, Z=0.21
Iteration 120:  X=-92.64, Y=-79.79, Z=0.16
Iteration 121:  X=-100.97, Y=-129.72, Z=0.22
Iteration 122:  X=162.26, Y=-76.29, Z=0.20
Iteration 123:  X=219.17, Y=79.22, Z=0.16
Iteration 124:  X=-16.88, Y=9.85, Z=0.16
Iteration 125:  X=-138.58, Y=-127.27, Z=0.16
Iteration 126:  X=-159.46, Y=-7.35, Z=0.16
Iteration 127:  X=47.78, Y=-216.61, Z=0.16
Iteration 128:  X=-253.69, Y=-2.03, Z=10.16
Iteration 129:  X=2.15, Y=-8.39, Z=0.16
Iteration 130:  X=39.76, Y=50.53, Z=0.16
Iteration 131:  X=-100.16, Y=158.64, Z=0.22
Iteration 132:  X=-218.68, Y=-45.62, Z=10.16
