日志将保存到: ../maps_100samples/Town04/carla_script_20250305_235104_Town04.log
将运行 200 次 get_random_location_from_navigation(), 每一次新的位置上方显示鸟瞰图并标注位置 (带坐标文本):
Iteration 1:  X=206.20, Y=-222.15, Z=0.17
Iteration 2:  X=283.08, Y=-303.10, Z=0.17
Iteration 3:  X=288.01, Y=-165.97, Z=0.35
Iteration 4:  X=252.12, Y=-212.49, Z=0.17
Iteration 5:  X=274.39, Y=-301.47, Z=0.18
Iteration 6:  X=66.26, Y=-256.86, Z=0.18
Iteration 7:  X=262.82, Y=-261.56, Z=0.18
Iteration 8:  X=267.95, Y=-253.02, Z=0.16
Iteration 9:  X=285.47, Y=-300.62, Z=0.16
Iteration 10:  X=250.63, Y=-195.00, Z=0.17
Iteration 11:  X=307.61, Y=-260.73, Z=0.17
Iteration 12:  X=138.62, Y=-190.76, Z=0.23
Iteration 13:  X=168.36, Y=-301.77, Z=0.19
Iteration 14:  X=179.52, Y=-301.76, Z=0.19
Iteration 15:  X=205.58, Y=-164.39, Z=0.18
Iteration 16:  X=221.70, Y=-164.97, Z=0.35
Iteration 17:  X=230.19, Y=-126.60, Z=0.17
Iteration 18:  X=284.95, Y=-301.06, Z=0.16
Iteration 19:  X=262.55, Y=-268.54, Z=0.17
Iteration 20:  X=207.16, Y=-209.40, Z=0.17
Iteration 21:  X=159.52, Y=-317.32, Z=0.18
Iteration 22:  X=219.89, Y=-165.59, Z=0.35
Iteration 23:  X=218.84, Y=-176.14, Z=0.35
Iteration 24:  X=102.31, Y=-278.32, Z=0.19
Iteration 25:  X=207.83, Y=-276.13, Z=0.17
Iteration 26:  X=281.48, Y=-241.99, Z=0.16
Iteration 27:  X=306.37, Y=-278.30, Z=0.16
Iteration 28:  X=220.89, Y=-304.79, Z=0.16
Iteration 29:  X=150.08, Y=-221.82, Z=0.19
Iteration 30:  X=52.55, Y=-200.81, Z=0.18
Iteration 31:  X=194.66, Y=-291.50, Z=0.18
Iteration 32:  X=268.40, Y=-176.12, Z=0.35
Iteration 33:  X=157.32, Y=-245.07, Z=0.19
Iteration 34:  X=276.33, Y=-303.79, Z=0.17
Iteration 35:  X=307.12, Y=-137.36, Z=0.17
Iteration 36:  X=208.63, Y=-256.01, Z=0.17
Iteration 37:  X=161.43, Y=-231.58, Z=0.19
Iteration 38:  X=343.74, Y=-151.39, Z=0.17
Iteration 39:  X=72.25, Y=-266.19, Z=0.18
Iteration 40:  X=229.48, Y=-166.07, Z=0.35
Iteration 41:  X=120.33, Y=-178.39, Z=0.36
Iteration 42:  X=308.14, Y=-193.20, Z=0.16
Iteration 43:  X=53.82, Y=-220.30, Z=0.18
Iteration 44:  X=318.65, Y=-141.26, Z=0.16
Iteration 45:  X=301.80, Y=-125.57, Z=0.17
Iteration 46:  X=74.31, Y=-268.56, Z=0.18
Iteration 47:  X=343.91, Y=-143.84, Z=0.17
Iteration 48:  X=251.03, Y=-298.91, Z=0.17
Iteration 49:  X=104.60, Y=-179.00, Z=0.35
Iteration 50:  X=185.27, Y=-254.98, Z=0.19
Iteration 51:  X=230.06, Y=-127.26, Z=0.17
Iteration 52:  X=194.81, Y=-295.20, Z=0.18
Iteration 53:  X=173.09, Y=-235.27, Z=0.20
Iteration 54:  X=301.90, Y=-242.79, Z=0.16
Iteration 55:  X=53.50, Y=-214.08, Z=0.18
Iteration 56:  X=262.19, Y=-224.30, Z=0.17
Iteration 57:  X=187.14, Y=-301.16, Z=0.19
Iteration 58:  X=68.30, Y=-186.32, Z=0.20
Iteration 59:  X=128.54, Y=-310.97, Z=0.18
Iteration 60:  X=301.17, Y=-126.01, Z=0.17
Iteration 61:  X=306.39, Y=-140.78, Z=0.17
Iteration 62:  X=206.67, Y=-209.95, Z=0.17
Iteration 63:  X=248.68, Y=-176.85, Z=0.36
Iteration 64:  X=299.27, Y=-296.44, Z=0.16
Iteration 65:  X=331.94, Y=-124.41, Z=0.17
Iteration 66:  X=344.65, Y=-150.21, Z=0.17
Iteration 67:  X=153.20, Y=-222.67, Z=0.19
Iteration 68:  X=251.13, Y=-197.94, Z=0.17
Iteration 69:  X=206.13, Y=-206.77, Z=0.17
Iteration 70:  X=150.83, Y=-222.09, Z=0.19
Iteration 71:  X=152.93, Y=-223.33, Z=0.19
Iteration 72:  X=62.41, Y=-248.46, Z=0.18
Iteration 73:  X=275.69, Y=-301.65, Z=0.17
Iteration 74:  X=262.17, Y=-203.66, Z=0.17
Iteration 75:  X=241.37, Y=-243.17, Z=0.16
Iteration 76:  X=252.10, Y=-157.85, Z=0.17
Iteration 77:  X=194.36, Y=-286.05, Z=0.18
Iteration 78:  X=343.92, Y=-146.07, Z=0.17
Iteration 79:  X=226.32, Y=-242.51, Z=0.16
Iteration 80:  X=71.69, Y=-177.92, Z=0.35
Iteration 81:  X=251.25, Y=-222.65, Z=0.17
Iteration 82:  X=279.90, Y=-165.39, Z=0.35
Iteration 83:  X=263.08, Y=-162.33, Z=0.21
Iteration 84:  X=206.41, Y=-191.21, Z=0.17
Iteration 85:  X=207.15, Y=-210.66, Z=0.17
Iteration 86:  X=144.52, Y=-235.98, Z=0.19
Iteration 87:  X=53.98, Y=-210.36, Z=0.18
Iteration 88:  X=139.81, Y=-204.67, Z=0.19
Iteration 89:  X=211.16, Y=-303.98, Z=0.17
Iteration 90:  X=231.31, Y=-303.99, Z=0.16
Iteration 91:  X=307.66, Y=-258.19, Z=0.17
Iteration 92:  X=299.50, Y=-253.55, Z=0.16
Iteration 93:  X=145.29, Y=-212.45, Z=0.19
Iteration 94:  X=186.52, Y=-317.11, Z=0.18
Iteration 95:  X=132.34, Y=-311.66, Z=0.18
Iteration 96:  X=338.97, Y=-126.58, Z=0.17
Iteration 97:  X=306.68, Y=-177.18, Z=0.35
Iteration 98:  X=184.44, Y=-238.43, Z=0.19
Iteration 99:  X=149.75, Y=-300.61, Z=0.19
Iteration 100:  X=251.31, Y=-283.76, Z=0.17
Iteration 101:  X=146.02, Y=-216.51, Z=0.19
Iteration 102:  X=269.35, Y=-165.37, Z=0.35
Iteration 103:  X=307.36, Y=-156.66, Z=0.17
Iteration 104:  X=126.45, Y=-211.60, Z=0.19
Iteration 105:  X=89.89, Y=-265.71, Z=0.19
Iteration 106:  X=209.60, Y=-177.50, Z=0.36
Iteration 107:  X=227.75, Y=-128.15, Z=0.17
Iteration 108:  X=270.81, Y=-254.23, Z=0.16
Iteration 109:  X=220.73, Y=-242.58, Z=0.16
Iteration 110:  X=214.57, Y=-177.51, Z=0.36
Iteration 111:  X=288.65, Y=-243.10, Z=0.16
Iteration 112:  X=305.03, Y=-284.70, Z=0.16
Iteration 113:  X=262.87, Y=-151.07, Z=0.18
Iteration 114:  X=307.85, Y=-134.74, Z=0.16
Iteration 115:  X=317.35, Y=-131.13, Z=0.16
Iteration 116:  X=103.95, Y=-279.42, Z=0.19
Iteration 117:  X=137.07, Y=-229.28, Z=0.20
Iteration 118:  X=208.25, Y=-283.34, Z=0.17
Iteration 119:  X=307.57, Y=-141.28, Z=0.17
Iteration 120:  X=240.37, Y=-126.25, Z=0.17
Iteration 121:  X=215.61, Y=-176.56, Z=0.35
Iteration 122:  X=307.05, Y=-203.11, Z=0.16
Iteration 123:  X=215.20, Y=-165.77, Z=0.35
Iteration 124:  X=186.33, Y=-253.72, Z=0.19
Iteration 125:  X=122.08, Y=-185.50, Z=0.19
Iteration 126:  X=318.51, Y=-130.27, Z=0.16
Iteration 127:  X=261.86, Y=-235.14, Z=0.17
Iteration 128:  X=251.82, Y=-234.53, Z=0.17
Iteration 129:  X=126.14, Y=-294.15, Z=0.19
Iteration 130:  X=245.53, Y=-166.36, Z=0.35
Iteration 131:  X=207.08, Y=-223.92, Z=0.17
Iteration 132:  X=317.91, Y=-141.16, Z=0.16
Iteration 133:  X=195.42, Y=-299.05, Z=0.17
Iteration 134:  X=262.33, Y=-265.75, Z=0.17
Iteration 135:  X=278.65, Y=-302.52, Z=0.17
Iteration 136:  X=215.83, Y=-135.29, Z=0.17
Iteration 137:  X=317.68, Y=-157.19, Z=0.16
Iteration 138:  X=53.04, Y=-183.85, Z=0.19
Iteration 139:  X=56.71, Y=-233.43, Z=0.18
Iteration 140:  X=115.64, Y=-305.83, Z=0.18
Iteration 141:  X=251.59, Y=-155.02, Z=0.17
Iteration 142:  X=205.52, Y=-197.52, Z=0.17
Iteration 143:  X=167.16, Y=-249.91, Z=0.19
Iteration 144:  X=153.29, Y=-223.73, Z=0.19
Iteration 145:  X=176.55, Y=-316.18, Z=0.18
Iteration 146:  X=280.52, Y=-166.08, Z=0.35
Iteration 147:  X=195.35, Y=-291.26, Z=0.18
Iteration 148:  X=142.18, Y=-235.02, Z=0.19
Iteration 149:  X=207.25, Y=-214.51, Z=0.17
Iteration 150:  X=205.88, Y=-162.08, Z=0.17
Iteration 151:  X=146.34, Y=-237.51, Z=0.19
Iteration 152:  X=251.14, Y=-135.50, Z=0.18
Iteration 153:  X=308.55, Y=-262.84, Z=0.17
Iteration 154:  X=308.57, Y=-268.94, Z=0.16
Iteration 155:  X=156.42, Y=-316.82, Z=0.18
Iteration 156:  X=120.50, Y=-180.48, Z=0.27
Iteration 157:  X=192.72, Y=-301.27, Z=0.20
Iteration 158:  X=308.64, Y=-225.52, Z=0.16
Iteration 159:  X=234.57, Y=-127.29, Z=0.17
Iteration 160:  X=305.42, Y=-281.33, Z=0.16
Iteration 161:  X=307.94, Y=-221.10, Z=0.16
Iteration 162:  X=282.38, Y=-126.50, Z=0.17
Iteration 163:  X=251.79, Y=-130.49, Z=0.17
Iteration 164:  X=136.06, Y=-181.62, Z=0.20
Iteration 165:  X=280.59, Y=-300.08, Z=0.17
Iteration 166:  X=182.78, Y=-317.23, Z=0.18
Iteration 167:  X=89.60, Y=-287.05, Z=0.18
Iteration 168:  X=114.83, Y=-178.78, Z=0.35
Iteration 169:  X=121.22, Y=-309.58, Z=0.18
Iteration 170:  X=219.44, Y=-132.11, Z=0.17
Iteration 171:  X=275.10, Y=-125.36, Z=0.17
Iteration 172:  X=165.47, Y=-317.64, Z=0.18
Iteration 173:  X=80.94, Y=-180.05, Z=0.35
Iteration 174:  X=53.67, Y=-219.34, Z=0.18
Iteration 175:  X=66.12, Y=-257.05, Z=0.18
Iteration 176:  X=282.36, Y=-176.77, Z=0.35
Iteration 177:  X=250.60, Y=-181.58, Z=0.18
Iteration 178:  X=160.26, Y=-229.11, Z=0.19
Iteration 179:  X=307.33, Y=-128.10, Z=0.16
Iteration 180:  X=129.34, Y=-217.19, Z=0.19
