日志将保存到: ../maps_100samples/Town04/carla_script_20250305_234852_Town04.log
将运行 200 次 get_random_location_from_navigation(), 每一次新的位置上方显示鸟瞰图并标注位置 (带坐标文本):
Iteration 1:  X=98.15, Y=233.91, Z=0.33
Iteration 2:  X=-13.28, Y=226.96, Z=0.33
Iteration 3:  X=68.37, Y=245.73, Z=0.33
Iteration 4:  X=185.96, Y=231.73, Z=0.34
Iteration 5:  X=164.93, Y=103.36, Z=0.33
Iteration 6:  X=19.16, Y=309.73, Z=0.33
Iteration 7:  X=117.58, Y=193.88, Z=0.33
Iteration 8:  X=128.42, Y=209.68, Z=0.33
Iteration 9:  X=106.52, Y=311.14, Z=0.33
Iteration 10:  X=99.66, Y=113.42, Z=0.33
Iteration 11:  X=119.51, Y=298.74, Z=0.33
Iteration 12:  X=50.57, Y=113.14, Z=0.33
Iteration 13:  X=19.19, Y=112.61, Z=0.33
Iteration 14:  X=86.68, Y=243.71, Z=0.33
Iteration 15:  X=187.59, Y=199.54, Z=0.33
Iteration 16:  X=85.43, Y=195.73, Z=0.33
Iteration 17:  X=23.21, Y=298.54, Z=0.33
Iteration 18:  X=79.63, Y=194.43, Z=0.33
Iteration 19:  X=37.95, Y=219.13, Z=0.33
Iteration 20:  X=194.24, Y=307.34, Z=0.34
Iteration 21:  X=185.80, Y=121.67, Z=0.33
Iteration 22:  X=78.18, Y=183.55, Z=0.33
Iteration 23:  X=55.51, Y=183.38, Z=0.33
Iteration 24:  X=168.94, Y=310.24, Z=0.33
Iteration 25:  X=-12.45, Y=252.25, Z=0.33
Iteration 26:  X=187.16, Y=281.85, Z=0.33
Iteration 27:  X=197.63, Y=162.82, Z=0.33
Iteration 28:  X=82.30, Y=296.84, Z=0.33
Iteration 29:  X=197.29, Y=200.37, Z=0.33
Iteration 30:  X=161.73, Y=233.07, Z=0.33
Iteration 31:  X=130.03, Y=217.74, Z=0.33
Iteration 32:  X=54.66, Y=195.28, Z=0.33
Iteration 33:  X=155.68, Y=246.50, Z=0.33
Iteration 34:  X=-12.24, Y=279.94, Z=0.33
Iteration 35:  X=74.00, Y=309.37, Z=0.33
Iteration 36:  X=36.78, Y=267.55, Z=0.33
Iteration 37:  X=103.82, Y=297.92, Z=0.33
Iteration 38:  X=119.58, Y=243.53, Z=0.33
Iteration 39:  X=-10.79, Y=117.06, Z=0.33
Iteration 40:  X=-10.71, Y=159.92, Z=0.33
Iteration 41:  X=196.20, Y=204.84, Z=0.33
Iteration 42:  X=176.28, Y=300.62, Z=0.33
